time_s,pos_x_m,pos_y_m,alt_z_m,vel_x_mps,vel_y_mps,vel_z_mps
0.7800,3.7664,0.0000,15.6004,10.5213,0.0000,0.0000
0.7900,3.8724,0.0000,16.0004,10.6795,0.0000,0.0000
0.8000,3.9800,0.0000,16.4054,10.8380,0.0000,0.0000
0.8100,4.0892,0.0000,16.8154,10.9968,0.0000,0.0000
0.8200,4.2000,0.0000,17.2304,11.1558,0.0000,0.0000
0.8300,4.3123,0.0000,17.6503,11.3150,0.0000,0.0000
0.8400,4.4263,0.0000,18.0752,11.4745,0.0000,0.0000
0.8500,4.5418,0.0000,18.5051,11.6342,0.0000,0.0000
0.8600,4.6589,0.0000,18.9399,11.7942,0.0000,0.0000
0.8700,4.7777,0.0000,19.3797,11.9543,0.0000,0.0000
0.8800,4.8980,0.0000,19.8244,12.1147,0.0000,0.0000
0.8900,5.0200,0.0000,20.2741,12.2753,0.0000,0.0000
0.9000,5.1435,0.0000,20.7287,12.4361,0.0000,0.0000
0.9100,5.2687,0.0000,21.1883,12.5971,0.0000,0.0000
0.9200,5.3955,0.0000,21.6527,12.7583,0.0000,0.0000
0.9300,5.5239,0.0000,22.1221,12.9196,0.0000,0.0000
0.9400,5.6539,0.0000,22.5965,13.0812,0.0000,0.0000
0.9500,5.7855,0.0000,23.0757,13.2429,0.0000,0.0000
0.9600,5.9187,0.0000,23.5598,13.4048,0.0000,0.0000
0.9700,6.0536,0.0000,24.0488,13.5668,0.0000,0.0000
0.9800,6.1901,0.0000,24.5427,13.7291,0.0000,0.0000
0.9900,6.3282,0.0000,25.0416,13.8914,0.0000,0.0000
1.0000,6.4679,0.0000,25.5452,14.0539,0.0000,0.0000
1.0100,6.6093,0.0000,26.0538,14.2166,0.0000,0.0000
1.0200,6.7522,0.0000,26.5672,14.3794,0.0000,0.0000
1.0300,6.8968,0.0000,27.0855,14.5423,0.0000,0.0000
1.0400,7.0431,0.0000,27.6087,14.7053,0.0000,0.0000
1.0500,7.1909,0.0000,28.1367,14.8685,0.0000,0.0000
1.0600,7.3404,0.0000,28.6695,15.0317,0.0000,0.0000
1.0700,7.4916,0.0000,29.2072,15.1951,0.0000,0.0000
1.0800,7.6444,0.0000,29.7497,15.3586,0.0000,0.0000
1.0900,7.7988,0.0000,30.2970,15.5222,0.0000,0.0000
1.1000,7.9548,0.0000,30.8491,15.6859,0.0000,0.0000
1.1100,8.1125,0.0000,31.4061,15.8496,0.0000,0.0000
1.1200,8.2718,0.0000,31.9678,16.0135,0.0000,0.0000
1.1300,8.4327,0.0000,32.5343,16.1774,0.0000,0.0000
1.1400,8.5953,0.0000,33.1057,16.3414,0.0000,0.0000
1.1500,8.7596,0.0000,33.6818,16.5055,0.0000,0.0000
1.1600,8.9254,0.0000,34.2626,16.6696,0.0000,0.0000
1.1700,9.0930,0.0000,34.8483,16.8338,0.0000,0.0000
1.1800,9.2621,0.0000,35.4386,16.9980,0.0000,0.0000
1.1900,9.4329,0.0000,36.0338,17.1623,0.0000,0.0000
1.2000,9.6054,0.0000,36.6337,17.3267,0.0000,0.0000
1.2100,9.7795,0.0000,37.2383,17.4911,0.0000,0.0000
1.2200,9.9552,0.0000,37.8476,17.6555,0.0000,0.0000
1.2300,10.1326,0.0000,38.4616,17.8199,0.0000,0.0000
1.2400,10.3116,0.0000,39.0804,17.9844,0.0000,0.0000
1.2500,10.4923,0.0000,39.7039,18.1489,0.0000,0.0000
1.2600,10.6746,0.0000,40.3320,18.3134,0.0000,0.0000
1.2700,10.8585,0.0000,40.9648,18.4779,0.0000,0.0000
1.2800,11.0441,0.0000,41.6024,18.6425,0.0000,0.0000
1.2900,11.2314,0.0000,42.2445,18.8070,0.0000,0.0000
1.3000,11.4203,0.0000,42.8914,18.9716,0.0000,0.0000
1.3100,11.6108,0.0000,43.5428,19.1361,0.0000,0.0000
1.3200,11.8030,0.0000,44.1990,19.3007,0.0000,0.0000
1.3300,11.9968,0.0000,44.8597,19.4652,0.0000,0.0000
1.3400,12.1923,0.0000,45.5251,19.6297,0.0000,0.0000
1.3500,12.3894,0.0000,46.1951,19.7942,0.0000,0.0000
1.3600,12.5882,0.0000,46.8697,19.9586,0.0000,0.0000
1.3700,12.7886,0.0000,47.5489,20.1231,0.0000,0.0000
1.3800,12.9906,0.0000,48.2327,20.2875,0.0000,0.0000
1.3900,13.1943,0.0000,48.9210,20.4518,0.0000,0.0000
1.4000,13.3997,0.0000,49.6140,20.6161,0.0000,0.0000
1.4100,13.6067,0.0000,50.3115,20.7804,0.0000,0.0000
1.4200,13.8153,0.0000,51.0135,20.9446,0.0000,0.0000
1.4300,14.0255,0.0000,51.7201,21.1088,0.0000,0.0000
1.4400,14.2375,0.0000,52.4312,21.2729,0.0000,0.0000
1.4500,14.4510,0.0000,53.1468,21.4370,0.0000,0.0000
